attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Count Particle Size Class >= 45.3 and < 64 mm very coarse gravel	Count Particle Size Class >= 45.3 and < 64 mm very coarse gravel	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 45.3 and < 64 mm very coarse gravel	Cumulative % Particle Size Class >= 45.3 and < 64 mm very coarse gravel	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 45.3 and < 64 mm very coarse gravel	Histogram % Particle Size Class >= 45.3 and < 64 mm very coarse gravel	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 64 and < 90.5 mm small cobble	Count Particle Size Class >= 64 and < 90.5 mm small cobble	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 64 and < 90.5 mm small cobble	Cumulative % Particle Size Class >= 64 and < 90.5 mm small cobble	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 64 and < 90.5 mm small cobble	Histogram % Particle Size Class >= 64 and < 90.5 mm small cobble	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 90.5 and < 128 mm small cobble	Count Particle Size Class >= 90.5 and < 128 mm small cobble	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 90.5 and < 128 mm small cobble	Cumulative % Particle Size Class >= 90.5 and < 128 mm small cobble	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 90.5 and < 128 mm small cobble	Histogram % Particle Size Class >= 90.5 and < 128 mm small cobble	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 128 and < 181 mm large cobble	Count Particle Size Class >= 128 and < 181 mm large cobble	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 128 and < 181 mm large cobble	Cumulative % Particle Size Class >= 128 and < 181 mm large cobble	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 128 and < 181 mm large cobble	Histogram % Particle Size Class >= 128 and < 181 mm large cobble	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 181 and < 256 mm large cobble	Count Particle Size Class >= 181 and < 256 mm large cobble	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 181 and < 256 mm large cobble	Cumulative % Particle Size Class >= 181 and < 256 mm large cobble	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 181 and < 256 mm large cobble	Histogram % Particle Size Class >= 181 and < 256 mm large cobble	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 256 and < 362 mm small boulder	Count Particle Size Class >= 256 and < 362 mm small boulder	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 256 and < 362 mm small boulder	Cumulative % Particle Size Class >= 256 and < 362 mm small boulder	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 256 and < 362 mm small boulder	Histogram % Particle Size Class >= 256 and < 362 mm small boulder	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 362 and < 512 mm small boulder	Count Particle Size Class >= 362 and < 512 mm small boulder	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 362 and < 512 mm small boulder	Cumulative % Particle Size Class >= 362 and < 512 mm small boulder	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 362 and < 512 mm small boulder	Histogram % Particle Size Class >= 362 and < 512 mm small boulder	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 512 and < 1024 mm medium boulder	Count Particle Size Class >= 512 and < 1024 mm medium boulder	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 512 and < 1024 mm medium boulder	Cumulative % Particle Size Class >= 512 and < 1024 mm medium boulder	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 512 and < 1024 mm medium boulder	Histogram % Particle Size Class >= 512 and < 1024 mm medium boulder	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 1024 and < 2048 mm large boulder	Count Particle Size Class >= 1024 and < 2048 mm large boulder	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 1024 and < 2048 mm large boulder	Cumulative % Particle Size Class >= 1024 and < 2048 mm large boulder	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 1024 and < 2048 mm large boulder	Histogram % Particle Size Class >= 1024 and < 2048 mm large boulder	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 2048 and < 4096 mm very large boulder	Count Particle Size Class >= 2048 and < 4096 mm very large boulder	numeric	dimensionless	NA	-999	Missing value
Cumulative % Particle Size Class >= 2048 and < 4096 mm very large boulder	Cumulative % Particle Size Class >= 2048 and < 4096 mm very large boulder	numeric	dimensionless	NA	-999	Missing value
Histogram % Particle Size Class >= 2048 and < 4096 mm very large boulder	Histogram % Particle Size Class >= 2048 and < 4096 mm very large boulder	numeric	dimensionless	NA	-999	Missing value
Count Particle Size Class >= 4096 bedrock	Count Particle Size Class >= 4096 bedrock	numeric	dimensionless	NA	-999	Missing value
Total No. Particles	Total No. Particles for pebble count	numeric	dimensionless	NA	-999	Missing value
Final (d16) mm	Final (d16) mm	numeric	millimeter	NA	-999	Missing value
Final (d16) Class Name	Final (d16) Class Name	categorical	NA	NA	-999	Missing value
Final (d50) mm	Final (d50) mm	numeric	millimeter	NA	-999	Missing value
Final (d50) Class Name	Final (d50) Class Name	categorical	NA	NA	-999	Missing value
Final (d84) mm	Final (d84) mm	numeric	millimeter	NA	-999	Missing value
Final (d84) Class Name	Final (d84) Class Name	categorical	NA	NA	-999	Missing value
Test (1) Criterion (mm)	Test (1) Criterion (mm)	numeric	millimeter	NA	-999	Missing value
Test (1) Tails	Test (1) Tails	numeric	dimensionless	NA	-999	Missing value
Test (1) Alpha	Test (1) Alpha	numeric	dimensionless	NA	-999	Missing value
Test (1) P-value (Real-stats)	Test (1) P-value (Real-stats)	numeric	dimensionless	NA	-999	Missing value
Test (1) P-value (Real-stats) Significance	Test (1) P-value (Real-stats) Significance	categorical	NA	NA	-999	Missing value
Test (1) P-value (USFS)	Test (1) P-value (USFS)	numeric	dimensionless	NA	-999	Missing value
Test (1) P-value (USFS) Significance	Test (1) P-value (USFS) Significance	categorical	NA	NA	-999	Missing value
Test (2) Criterion (mm)	Test (2) Criterion (mm)	numeric	millimeter	NA	-999	Missing value
Test (2) Tails	Test (2) Tails	numeric	dimensionless	NA	-999	Missing value
Test (2) Alpha	Test (2) Alpha	numeric	dimensionless	NA	-999	Missing value
Test (2) P-value (Real-stats)	Test (2) P-value (Real-stats)	numeric	dimensionless	NA	-999	Missing value
Test (2) P-value (Real-stats) Significance	Test (2) P-value (Real-stats) Significance	categorical	NA	NA	-999	Missing value
Test (2) P-value (USFS)	Test (2) P-value (USFS)	numeric	dimensionless	NA	-999	Missing value
Test (2) P-value (USFS) Significance	Test (2) P-value (USFS) Significance	categorical	NA	NA	-999	Missing value
Test (3) Criterion (mm)	Test (3) Criterion (mm)	numeric	millimeter	NA	-999	Missing value
Test (3) Tails	Test (3) Tails	numeric	dimensionless	NA	-999	Missing value
Test (3) Alpha	Test (3) Alpha	numeric	dimensionless	NA	-999	Missing value
Test (3) P-value (Real-stats)	Test (3) P-value (Real-stats)	numeric	dimensionless	NA	-999	Missing value
Test (3) P-value (Real-stats) Significance	Test (3) P-value (Real-stats) Significance	categorical	NA	NA	-999	Missing value
Test (3) P-value (USFS)	Test (3) P-value (USFS)	numeric	dimensionless	NA	-999	Missing value
Test (3) P-value (USFS) Significance	Test (3) P-value (USFS) Significance	categorical	NA	NA	-999	Missing value
Test (4) Criterion (mm)	Test (4) Criterion (mm)	numeric	millimeter	NA	-999	Missing value
Test (4) Tails	Test (4) Tails	numeric	dimensionless	NA	-999	Missing value
Test (4) Alpha	Test (4) Alpha	numeric	dimensionless	NA	-999	Missing value
Test (4) P-value (Real-stats)	Test (4) P-value (Real-stats)	numeric	dimensionless	NA	-999	Missing value
Test (4) P-value (Real-stats) Significance	Test (4) P-value (Real-stats) Significance	categorical	NA	NA	-999	Missing value
Test (4) P-value (USFS)	Test (4) P-value (USFS)	numeric	dimensionless	NA	-999	Missing value
Test (4) P-value (USFS) Significance	Test (4) P-value (USFS) Significance	categorical	NA	NA	-999	Missing value
