geographicDescription,northBoundingCoordinate,southBoundingCoordinate,eastBoundingCoordinate,westBoundingCoordinate,minimumAltitude,maximumAltitude,altitudeUnits
"Site number 9, Stream Rock, Description bou",47.40570145,47.40570145,-121.89751724,-121.89751724,,,
"Site number 9, Stream Rock, Description tou",47.40817212,47.40817212,-121.89695930,-121.89695930,,,
"Site number 9, Stream Rock, Description xs1",47.40641794,47.40641794,-121.89708585,-121.89708585,,,
"Site number 9, Stream Rock, Description xs2",47.40700962,47.40700962,-121.89669863,-121.89669863,,,
"Site number 9, Stream Rock, Description xs3",47.40777752,47.40777752,-121.89681852,-121.89681852,,,
"Site number 10, Stream Rex, Description bou",47.33662667,47.33662667,-121.63470878,-121.63470878,,,
"Site number 10, Stream Rex, Description tou",47.33255996,47.33255996,-121.63019206,-121.63019206,,,
"Site number 10, Stream Rex, Description xs1",47.33506547,47.33506547,-121.63301215,-121.63301215,,,
"Site number 10, Stream Rex, Description xs2",47.33472454,47.33472454,-121.63218336,-121.63218336,,,
"Site number 10, Stream Rex, Description xs3",47.33361796,47.33361796,-121.63125373,-121.63125373,,,
"Site number 11, Stream SF Taylor, Description bou",47.33978363,47.33978363,-121.78069387,-121.78069387,,,
"Site number 11, Stream SF Taylor, Description tou",47.33700551,47.33700551,-121.77997730,-121.77997730,,,
"Site number 11, Stream SF Taylor, Description xs1",47.33934077,47.33934077,-121.78055792,-121.78055792,,,
"Site number 11, Stream SF Taylor, Description xs2",47.33842943,47.33842943,-121.78020846,-121.78020846,,,
"Site number 11, Stream SF Taylor, Description xs3",47.33763122,47.33763122,-121.77974335,-121.77974335,,,
"Site number 12, Stream Boulder, Description bou",47.36464178,47.36464178,-121.69715899,-121.69715899,,,
"Site number 12, Stream Boulder, Description tou",47.36027467,47.36027467,-121.70393923,-121.70393923,,,
"Site number 12, Stream Boulder, Description xs1",47.36355348,47.36355348,-121.69861344,-121.69861344,,,
"Site number 12, Stream Boulder, Description xs2",47.36206908,47.36206908,-121.70078620,-121.70078620,,,
"Site number 12, Stream Boulder, Description xs3",47.36098562,47.36098562,-121.70300903,-121.70300903,,,
"Site number 13, Stream SF Taylor, Description bou",47.34538076,47.34538076,-121.78812294,-121.78812294,,,
"Site number 13, Stream SF Taylor, Description tou",47.34455793,47.34455793,-121.78679595,-121.78679595,,,
"Site number 13, Stream SF Taylor, Description xs1",47.34554872,47.34554872,-121.78747594,-121.78747594,,,
"Site number 13, Stream SF Taylor, Description xs2",47.34547702,47.34547702,-121.78668652,-121.78668652,,,
"Site number 13, Stream SF Taylor, Description xs3",47.34489534,47.34489534,-121.78681332,-121.78681332,,,
"Site number 14, Stream SF Cedar, Description bou",47.28162995,47.28162995,-121.47126300,-121.47126300,,,
"Site number 14, Stream SF Cedar, Description tou",47.28152597,47.28152597,-121.47053546,-121.47053546,,,
"Site number 14, Stream SF Cedar, Description xs1",47.28166123,47.28166123,-121.47108961,-121.47108961,,,
"Site number 14, Stream SF Cedar, Description xs2",47.28163156,47.28163156,-121.47097360,-121.47097360,,,
"Site number 14, Stream SF Cedar, Description xs3",47.28163567,47.28163567,-121.47071540,-121.47071540,,,
"Site number 15, Stream Rock, Description bou",47.39502801,47.39502801,-121.94536886,-121.94536886,,,
"Site number 15, Stream Rock, Description tou",47.39577047,47.39577047,-121.94118768,-121.94118768,,,
"Site number 15, Stream Rock, Description xs1",47.39561003,47.39561003,-121.94483634,-121.94483634,,,
"Site number 15, Stream Rock, Description xs2",47.39594703,47.39594703,-121.94344500,-121.94344500,,,
"Site number 15, Stream Rock, Description xs3",47.39586318,47.39586318,-121.94216557,-121.94216557,,,
"Site number 16, Stream Goat, Description bou",47.30310386,47.30310386,-121.54208647,-121.54208647,,,
"Site number 16, Stream Goat, Description tou",47.30142336,47.30142336,-121.54299126,-121.54299126,,,
"Site number 16, Stream Goat, Description xs1",47.30263450,47.30263450,-121.54206732,-121.54206732,,,
"Site number 16, Stream Goat, Description xs2",47.30240803,47.30240803,-121.54273537,-121.54273537,,,
"Site number 16, Stream Goat, Description xs3",47.30194117,47.30194117,-121.54291084,-121.54291084,,,
"Site number 17, Stream Williams, Description bou",47.39562092,47.39562092,-121.85461564,-121.85461564,,,
"Site number 17, Stream Williams, Description tou",47.39780121,47.39780121,-121.85494390,-121.85494390,,,
"Site number 17, Stream Williams, Description xs1",47.39611063,47.39611063,-121.85488800,-121.85488800,,,
"Site number 17, Stream Williams, Description xs2",47.39667095,47.39667095,-121.85480326,-121.85480326,,,
"Site number 17, Stream Williams, Description xs3",47.39716972,47.39716972,-121.85478486,-121.85478486,,,
"Site number 18, Stream MF Taylor, Description bou",47.35486894,47.35486894,-121.80081008,-121.80081008,,,
"Site number 18, Stream MF Taylor, Description tou",47.35435683,47.35435683,-121.79269222,-121.79269222,,,
"Site number 18, Stream MF Taylor, Description xs1",47.35489574,47.35489574,-121.79878471,-121.79878471,,,
"Site number 18, Stream MF Taylor, Description xs2",47.35555029,47.35555029,-121.79651334,-121.79651334,,,
"Site number 18, Stream MF Taylor, Description xs3",47.35510426,47.35510426,-121.79449469,-121.79449469,,,
"Site number 19, Stream Webster, Description bou",47.40945340,47.40945340,-121.92379217,-121.92379217,,,
"Site number 19, Stream Webster, Description tou",47.41063362,47.41063362,-121.92189878,-121.92189878,,,
"Site number 19, Stream Webster, Description xs1",47.40968341,47.40968341,-121.92317839,-121.92317839,,,
"Site number 19, Stream Webster, Description xs2",47.41003223,47.41003223,-121.92261688,-121.92261688,,,
"Site number 19, Stream Webster, Description xs3",47.41035224,47.41035224,-121.92244742,-121.92244742,,,
"Site number 20, Stream Rock, Description bou",47.39646977,47.39646977,-121.92907822,-121.92907822,,,
"Site number 20, Stream Rock, Description tou",47.39762556,47.39762556,-121.92419580,-121.92419580,,,
"Site number 20, Stream Rock, Description xs1",47.39699816,47.39699816,-121.92785471,-121.92785471,,,
"Site number 20, Stream Rock, Description xs2",47.39730494,47.39730494,-121.92663103,-121.92663103,,,
"Site number 20, Stream Rock, Description xs3",47.39769684,47.39769684,-121.92543743,-121.92543743,,,
"Site number 21, Stream SF Cedar, Description bou",47.30795280,47.30795280,-121.51859274,-121.51859274,,,
"Site number 21, Stream SF Cedar, Description tou",47.30656428,47.30656428,-121.51683412,-121.51683412,,,
"Site number 21, Stream SF Cedar, Description xs1",47.30735853,47.30735853,-121.51849317,-121.51849317,,,
"Site number 21, Stream SF Cedar, Description xs2",47.30690343,47.30690343,-121.51787823,-121.51787823,,,
"Site number 21, Stream SF Cedar, Description xs3",47.30687297,47.30687297,-121.51726269,-121.51726269,,,
"Site number 22, Stream SF Cedar, Description bou",47.29817275,47.29817275,-121.50686282,-121.50686282,,,
"Site number 22, Stream SF Cedar, Description tou",47.29579838,47.29579838,-121.50495014,-121.50495014,,,
"Site number 22, Stream SF Cedar, Description xs1",47.29736912,47.29736912,-121.50652371,-121.50652371,,,
